持股人,公司,分数
123,22,-3.1821895
119,81,-3.1821892
154,19,-2.8794708
78,47,-3.8814697
75,15,-6.457614
150,8,-2.8735862
37,83,-1.3505524
138,28,-3.8278751
99,35,-14.501803
19,63,-1.7138801
141,88,-15.562335
30,12,-3.5667858
33,72,2.2938097
54,60,-1.4212608
3,72,2.2938097
150,46,-5.0371084
94,59,-1.8580544
91,27,-4.4711328
146,55,-3.1821847
15,90,0.058075204
12,58,-1.5600007
46,52,-29.678368
49,84,-3.1821895
107,67,-3.1821868
146,88,-15.562328
115,80,-2.5611324
63,1,-2.338548
126,42,-4.680983
71,14,-15.187481
163,26,-3.1821873
126,47,-3.8814697
0,57,-3.1821847
7,82,-3.0124724
87,54,-46.74618
126,75,-3.1821868
130,16,-6.047923
159,15,-6.457614
28,70,-3.1821887
42,79,-3.8743002
120,47,-3.8814697
124,16,-6.047921
24,59,-1.8580544
75,72,2.2938058
79,46,-5.0371103
159,53,-3.1821868
8,57,-3.1821868
103,66,-2.0752206
100,34,-42.035458
104,3,-5.5953755
38,12,-3.5667858
34,71,-7.9478555
142,87,-3.1821914
59,0,-3.588053
55,59,-1.8580544
104,8,-2.8735824
124,87,-3.1821895
59,33,-18.906681
151,45,-4.811959
9,13,-5.241819
35,18,4.626572
38,78,-2.4012785
135,54,-46.74619
16,89,-3.0863183
17,26,-3.1821914
112,35,-14.501805
139,23,-3.9590526
64,0,-3.588051
67,60,-1.4212602
125,43,-3.1821873
127,41,-3.240297
152,20,-3.1821828
43,45,-4.811959
131,15,-6.457616
88,53,-3.1821868
92,22,-3.1821914
17,64,-1.6859759
109,41,-3.240297
47,19,-2.8794708
43,78,-2.4012806
47,47,-3.8814697
25,58,-1.5599989
68,7,-0.7467723
64,66,-2.0752208
113,15,-6.457614
68,40,-6.6411743
96,80,-2.5611286
160,52,-29.678368
160,80,-2.5611286
164,21,-3.1821892
105,2,-124.97342
47,85,-1.9399134
4,86,-12.00696
26,5,-3.9930768
29,65,-6.927643
117,73,-2.8227248
121,42,-4.680983
76,67,-3.1821868
84,52,-29.678364
136,48,-34.59207
39,77,0.16348062
140,22,-3.18219
5,33,-18.906677
2,1,-2.3385458
97,60,-1.4212608
35,66,-2.0752227
56,26,-3.1821856
52,85,-1.9399134
5,66,-2.0752232
64,39,-3.1821876
85,8,-2.8735867
152,40,-6.6411676
14,19,-2.8794668
148,49,-8.561958
36,13,-5.241817
113,72,2.2938097
114,9,-56.206448
17,84,-3.1821914
14,52,-29.678371
117,41,-3.2402916
69,6,-3.2746506
64,86,-12.006969
72,71,-7.9478574
85,74,-58.24383
128,36,-4.231129
136,21,-3.1821868
93,59,-1.8580513
165,20,-3.1821847
89,48,-34.592068
48,84,-3.182187
149,29,-2.0838342
122,41,-3.2402933
136,68,-3.3326108
94,15,-6.457612
161,47,-3.8814697
23,26,-3.1821854
105,60,-1.4212602
102,28,-3.8278732
122,79,-3.8743021
2,21,-3.1821847
27,0,-3.588051
57,25,-3.1821895
57,53,-3.1821868
60,85,-1.9399134
115,36,-4.231129
78,13,-5.241819
118,68,-3.3326128
74,2,-124.97339
36,70,-3.1821873
137,15,-6.457614
137,43,-3.1821868
153,39,-3.1821895
18,78,-2.4012806
15,18,4.626572
145,28,-3.8278732
102,66,-2.0752208
37,12,-3.5667858
118,40,-6.641172
141,17,-4.519902
2,87,-3.1821873
18,83,-1.3505545
58,0,-3.5880492
73,65,-6.9276443
90,14,-15.187471
154,14,-15.187472
11,45,-4.811955
45,39,-3.1821895
145,75,-3.1821887
114,67,-3.1821847
111,35,-14.501807
66,32,-25.207195
66,60,-1.4212627
70,1,-2.3385499
129,73,-2.8227239
158,72,2.2938159
7,6,-3.2746506
162,46,-5.0371103
24,25,-3.1821895
46,19,-2.879469
27,90,0.058075204
123,36,-4.231129
82,72,2.2938104
78,33,-18.906673
75,1,-2.3385499
7,44,-3.4851067
141,74,-58.243824
99,21,-3.1821866
138,42,-4.680983
33,58,-1.5599989
107,34,-42.035446
7,77,0.16348062
54,46,-5.0371103
3,86,-12.006964
123,74,-58.243824
120,42,-4.680983
58,20,-3.182185
54,79,-3.8743021
79,8,-2.8735867
75,67,-3.1821887
150,60,-1.4212602
34,33,-18.906681
134,69,-3.1821847
12,44,-3.485109
16,13,-5.241815
115,66,-2.0752227
71,0,-3.5880508
151,7,-0.7467702
130,2,-124.97339
0,43,-3.1821847
87,40,-6.6411695
87,68,-3.3326092
16,51,-1.8036128
126,61,-11.964684
95,53,-3.1821847
147,49,-8.561956
130,30,-2.002162
42,65,-6.9276414
151,40,-6.641172
50,78,-2.4012806
108,61,-11.964682
124,35,-14.5018015
67,27,-4.471131
63,86,-12.006964
130,68,-3.3326108
127,36,-4.231129
8,43,-3.1821868
8,71,-7.9478536
103,80,-2.5611246
159,67,-3.1821868
24,83,-1.3505526
25,20,-3.1821887
124,73,-2.8227296
125,10,-78.55548
80,7,-0.7467702
83,67,-3.1821911
38,64,-1.6859733
35,32,-25.207191
39,1,-2.3385499
96,75,-3.182185
17,12,-3.5667877
139,9,-56.206448
139,37,-6.0924463
104,60,-1.4212545
135,68,-3.332613
4,53,-3.182181
1,21,-3.1821826
4,81,-3.182181
59,85,-1.9399134
152,6,-3.2746487
76,34,-42.03545
92,8,-2.8735886
139,75,-3.1821887
17,50,-0.4281664
112,87,-3.1821895
13,39,-3.1821852
47,33,-18.90668
5,28,-3.8278754
116,61,-11.964685
113,29,-2.0838342
76,6,-3.2746506
68,26,-3.1821938
71,86,-12.006969
131,67,-3.1821892
